SIMULATED EQUIVALENT,"""OBSERVED VALUE""",,"""OBSERVATION NAME""",Well ID,Date,name,RMSE,Well Type,Pumping in Model Cell,Area in Model,Distance from Carmel River
54,51,-2.37,w1_06292004,1,6292004,Hernstadt,,,,,
53,51,-2.28,w1_08042004,1,8042004,Hernstadt,,,,,
53,51,-2.52,w1_08302004,1,8302004,Hernstadt,,,,,
53,51,-2.46,w1_09292004,1,9292004,Hernstadt,,,,,
53,51,-2.48,w1_10272004,1,10272004,Hernstadt,,,,,
53,51,-2.38,w1_12012004,1,12012004,Hernstadt,,,,,
53,51,-2.31,w1_12282004,1,12282004,Hernstadt,,,,,
54,52,-2.11,w1_02092005,1,2092005,Hernstadt,,,,,
54,52,-1.25,w1_02272005,1,2272005,Hernstadt,,,,,
54,52,-1.91,w1_03302005,1,3302005,Hernstadt,,,,,
54,51,-2.33,w1_05022005,1,5022005,Hernstadt,,,,,
54,51,-2.35,w1_05262005,1,5262005,Hernstadt,,,,,
54,51,-2.55,w1_06302005,1,6302005,Hernstadt,,,,,
53,51,-2.19,w1_07282005,1,7282005,Hernstadt,,,,,
53,51,-2.44,w1_08312005,1,8312005,Hernstadt,,,,,
53,51,-2.21,w1_09282005,1,9282005,Hernstadt,,,,,
53,51,-2.18,w1_10282005,1,10282005,Hernstadt,,,,,
53,51,-2.20,w1_12062005,1,12062005,Hernstadt,,,,,
54,52,-1.82,w1_01062006,1,1062006,Hernstadt,,,,,
53,51,-2.04,w1_02012006,1,2012006,Hernstadt,,,,,
54,52,-1.70,w1_03022006,1,3022006,Hernstadt,,,,,
54,52,-1.72,w1_03292006,1,3292006,Hernstadt,,,,,
54,52,-1.77,w1_04262006,1,4262006,Hernstadt,,,,,
53,51,-1.93,w1_05252006,1,5252006,Hernstadt,,,,,
53,51,-1.94,w1_07062006,1,7062006,Hernstadt,,,,,
53,51,-2.09,w1_08102006,1,8102006,Hernstadt,,,,,
53,51,-1.79,w1_09012006,1,9012006,Hernstadt,,,,,
53,51,-2.12,w1_10042006,1,10042006,Hernstadt,,,,,
53,51,-2.14,w1_11012006,1,11012006,Hernstadt,,,,,
53,51,-2.17,w1_11292006,1,11292006,Hernstadt,,,,,
53,51,-2.17,w1_12222006,1,12222006,Hernstadt,,,,,
54,51,-2.56,w1_02052007,1,2052007,Hernstadt,,,,,
54,52,-2.18,w1_02272007,1,2272007,Hernstadt,,,,,
54,51,-2.38,w1_03272007,1,3272007,Hernstadt,,,,,
54,51,-2.36,w1_05012007,1,5012007,Hernstadt,,,,,
53,51,-2.30,w1_05312007,1,5312007,Hernstadt,,,,,
53,51,-2.22,w1_06272007,1,6272007,Hernstadt,,,,,
53,51,-2.21,w1_08022007,1,8022007,Hernstadt,,,,,
53,51,-2.18,w1_08312007,1,8312007,Hernstadt,,,,,
53,51,-2.44,w1_10022007,1,10022007,Hernstadt,,,,,
53,51,-2.16,w1_11022007,1,11022007,Hernstadt,,,,,
53,51,-2.26,w1_11292007,1,11292007,Hernstadt,,,,,
53,51,-2.32,w1_12202007,1,12202007,Hernstadt,,,,,
53,52,-1.87,w1_01102008,1,1102008,Hernstadt,,,,,
53,52,-1.62,w1_02012008,1,2012008,Hernstadt,,,,,
54,52,-1.86,w1_02292008,1,2292008,Hernstadt,,,,,
54,51,-2.21,w1_03212008,1,3212008,Hernstadt,,,,,
54,51,-2.25,w1_04282008,1,4282008,Hernstadt,,,,,
53,51,-2.24,w1_05302008,1,5302008,Hernstadt,,,,,
53,51,-2.17,w1_07022008,1,7022008,Hernstadt,,,,,
53,51,-2.21,w1_07302008,1,7302008,Hernstadt,,,,,
53,51,-2.16,w1_09042008,1,9042008,Hernstadt,,,,,
53,51,-2.13,w1_10022008,1,10022008,Hernstadt,,,,,
53,51,-2.24,w1_10292008,1,10292008,Hernstadt,,,,,
53,51,-2.17,w1_12032008,1,12032008,Hernstadt,,,,,
53,51,-2.18,w1_01082009,1,1082009,Hernstadt,,,,,
54,51,-2.32,w1_01302009,1,1302009,Hernstadt,,,,,
54,52,-1.83,w1_02252009,1,2252009,Hernstadt,,,,,
54,52,-2.18,w1_03302009,1,3302009,Hernstadt,,,,,
54,51,-2.34,w1_05012009,1,5012009,Hernstadt,,,,,
54,51,-2.30,w1_06012009,1,6012009,Hernstadt,,,,,
53,51,-2.25,w1_06242009,1,6242009,Hernstadt,,,,,
53,51,-2.19,w1_08052009,1,8052009,Hernstadt,,,,,
53,51,-2.18,w1_09012009,1,9012009,Hernstadt,,,,,
53,51,-2.13,w1_09302009,1,9302009,Hernstadt,,,,,
53,52,-1.63,w1_10162009,1,10162009,Hernstadt,,,,,
53,51,-1.97,w1_11042009,1,11042009,Hernstadt,,,,,
53,51,-2.12,w1_12032009,1,12032009,Hernstadt,,,,,
54,51,-2.21,w1_01052010,1,1052010,Hernstadt,,,,,
54,52,-1.60,w1_01292010,1,1292010,Hernstadt,,,,,
54,52,-1.47,w1_03042010,1,3042010,Hernstadt,,,,,
54,52,-2.16,w1_03302010,1,3302010,Hernstadt,,,,,
54,52,-1.96,w1_04292010,1,4292010,Hernstadt,,,,,
54,51,-2.07,w1_06042010,1,6042010,Hernstadt,,,,,
53,51,-2.12,w1_06302010,1,6302010,Hernstadt,,,,,
53,51,-2.11,w1_07302010,1,7302010,Hernstadt,,,,,
53,51,-2.11,w1_08312010,1,8312010,Hernstadt,,,,,
53,51,-2.03,w1_10012010,1,10012010,Hernstadt,,,,,
53,51,-1.83,w1_10282010,1,10282010,Hernstadt,,,,,
53,51,-1.58,w1_12012010,1,12012010,Hernstadt,,,,,
53,52,-1.12,w1_01052011,1,1052011,Hernstadt,,,,,
53,51,-1.67,w1_01272011,1,1272011,Hernstadt,,,,,
53,52,-1.19,w1_02282011,1,2282011,Hernstadt,,,,,
53,52,-1.23,w1_04012011,1,4012011,Hernstadt,,,,,
53,51,-1.83,w1_05022011,1,5022011,Hernstadt,,,,,
53,51,-1.83,w1_06032011,1,6032011,Hernstadt,,,,,
53,51,-1.81,w1_06282011,1,6282011,Hernstadt,,,,,
53,51,-1.85,w1_08012011,1,8012011,Hernstadt,,,,,
53,51,-1.88,w1_08292011,1,8292011,Hernstadt,,,,,
53,51,-1.86,w1_10032011,1,10032011,Hernstadt,,,,,
53,51,-1.77,w1_11022011,1,11022011,Hernstadt,,,,,
53,51,-1.76,w1_11302011,1,11302011,Hernstadt,,,,,
52,51,-1.03,w1_01062012,1,1062012,Hernstadt,,,,,
52,51,-0.91,w1_01302012,1,1302012,Hernstadt,,,,,
52,51,-0.88,w1_03052012,1,3052012,Hernstadt,,,,,
52,51,-0.55,w1_04022012,1,4022012,Hernstadt,,,,,
52,51,-0.61,w1_04302012,1,4302012,Hernstadt,,,,,
52,51,-0.64,w1_06012012,1,6012012,Hernstadt,,,,,
52,51,-0.63,w1_06292012,1,6292012,Hernstadt,,,,,
51,51,-0.61,w1_08012012,1,8012012,Hernstadt,,,,,
51,51,-0.44,w1_08272012,1,8272012,Hernstadt,,,,,
51,51,-0.07,w1_09222012,1,9222012,Hernstadt,,,,,
51,51,-0.56,w1_10292012,1,10292012,Hernstadt,,,,,
52,51,-0.51,w1_12062012,1,12062012,Hernstadt,,,,,
52,51,-0.57,w1_01022013,1,1022013,Hernstadt,,,,,
52,51,-0.84,w1_01302013,1,1302013,Hernstadt,,,,,
52,51,-1.29,w1_02272013,1,2272013,Hernstadt,,,,,
52,51,-1.24,w1_04032013,1,4032013,Hernstadt,,,,,
52,51,-1.27,w1_04252013,1,4252013,Hernstadt,,,,,
52,51,-1.32,w1_05312013,1,5312013,Hernstadt,,,,,
52,51,-1.27,w1_06212013,1,6212013,Hernstadt,,,,,
52,51,-1.24,w1_08012013,1,8012013,Hernstadt,,,,,
52,51,-1.24,w1_09062013,1,9062013,Hernstadt,,,,,
52,51,-1.20,w1_10082013,1,10082013,Hernstadt,,,,,
52,51,-1.20,w1_11042013,1,11042013,Hernstadt,,,,,
52,51,-1.60,w1_12022013,1,12022013,Hernstadt,,,,,
53,51,-1.89,w1_01082014,1,1082014,Hernstadt,,,,,
53,51,-1.88,w1_02032014,1,2032014,Hernstadt,,,,,
53,51,-1.86,w1_03032014,1,3032014,Hernstadt,,,,,
53,51,-1.83,w1_04302014,1,4302014,Hernstadt,,,,,
53,51,-1.86,w1_06052014,1,6052014,Hernstadt,,,,,
53,51,-1.87,w1_07032014,1,7032014,Hernstadt,,,,,
52,51,-1.48,w1_07302014,1,7302014,Hernstadt,,,,,
52,51,-0.99,w1_08272014,1,8272014,Hernstadt,,,,,
79,104,24.80,W2_10231990,2,10231990,Sweeney,28.47668079,Domestic,Yes,Uplands,
79,104,24.62,W2_11161990,2,11161990,Sweeney,,,,,
79,104,24.56,W2_12191990,2,12191990,Sweeney,,,,,
79,104,24.50,W2_01041991,2,1041991,Sweeney,,,,,
79,104,24.37,W2_02051991,2,2051991,Sweeney,,,,,
79,103,24.20,W2_03051991,2,3051991,Sweeney,,,,,
79,105,26.17,W2_03181991,2,3181991,Sweeney,,,,,
79,106,26.76,W2_03201991,2,3201991,Sweeney,,,,,
79,107,27.36,W2_03211991,2,3211991,Sweeney,,,,,
79,107,28.01,W2_03251991,2,3251991,Sweeney,,,,,
79,108,28.49,W2_04021991,2,4021991,Sweeney,,,,,
79,108,28.56,W2_04091991,2,4091991,Sweeney,,,,,
79,108,28.43,W2_04181991,2,4181991,Sweeney,,,,,
79,108,28.43,W2_05061991,2,5061991,Sweeney,,,,,
79,108,28.42,W2_05161991,2,5161991,Sweeney,,,,,
79,107,28.37,W2_05231991,2,5231991,Sweeney,,,,,
79,107,28.39,W2_05301991,2,5301991,Sweeney,,,,,
79,107,28.38,W2_06061991,2,6061991,Sweeney,,,,,
79,107,28.23,W2_06201991,2,6201991,Sweeney,,,,,
79,107,28.13,W2_07051991,2,7051991,Sweeney,,,,,
79,107,27.95,W2_08061991,2,8061991,Sweeney,,,,,
79,107,27.80,W2_09041991,2,9041991,Sweeney,,,,,
79,107,27.69,W2_10021991,2,10021991,Sweeney,,,,,
79,107,27.55,W2_11151991,2,11151991,Sweeney,,,,,
79,106,27.47,W2_12091991,2,12091991,Sweeney,,,,,
79,107,27.59,W2_12311991,2,12311991,Sweeney,,,,,
79,107,27.64,W2_01061992,2,1061992,Sweeney,,,,,
79,106,27.41,W2_02051992,2,2051992,Sweeney,,,,,
79,108,29.03,W2_03021992,2,3021992,Sweeney,,,,,
79,105,26.49,W2_03121992,2,3121992,Sweeney,,,,,
79,108,28.96,W2_04021992,2,4021992,Sweeney,,,,,
79,108,28.64,W2_05081992,2,5081992,Sweeney,,,,,
79,107,28.48,W2_06091992,2,6091992,Sweeney,,,,,
79,107,28.39,W2_07071992,2,7071992,Sweeney,,,,,
79,107,28.25,W2_08101992,2,8101992,Sweeney,,,,,
79,107,28.04,W2_09101992,2,9101992,Sweeney,,,,,
79,106,27.54,W2_10191992,2,10191992,Sweeney,,,,,
79,106,27.28,W2_11111992,2,11111992,Sweeney,,,,,
79,106,27.03,W2_12021992,2,12021992,Sweeney,,,,,
79,106,26.87,W2_12291992,2,12291992,Sweeney,,,,,
79,107,27.88,W2_01041993,2,1041993,Sweeney,,,,,
79,108,29.71,W2_01141993,2,1141993,Sweeney,,,,,
79,109,29.78,W2_01251993,2,1251993,Sweeney,,,,,
79,109,29.88,W2_03031993,2,3031993,Sweeney,,,,,
79,108,29.30,W2_04021993,2,4021993,Sweeney,,,,,
79,108,28.96,W2_05041993,2,5041993,Sweeney,,,,,
79,108,28.90,W2_06091993,2,6091993,Sweeney,,,,,
79,107,28.64,W2_06291993,2,6291993,Sweeney,,,,,
79,107,28.50,W2_07281993,2,7281993,Sweeney,,,,,
79,107,28.20,W2_08301993,2,8301993,Sweeney,,,,,
79,106,27.75,W2_09291993,2,9291993,Sweeney,,,,,
79,106,27.26,W2_11021993,2,11021993,Sweeney,,,,,
79,106,27.46,W2_11291993,2,11291993,Sweeney,,,,,
79,105,26.90,W2_01061994,2,1061994,Sweeney,,,,,
79,105,26.82,W2_01201994,2,1201994,Sweeney,,,,,
79,107,28.86,W2_02231994,2,2231994,Sweeney,,,,,
79,107,28.79,W2_03231994,2,3231994,Sweeney,,,,,
79,107,28.71,W2_04271994,2,4271994,Sweeney,,,,,
78,107,28.70,W2_05281994,2,5281994,Sweeney,,,,,
78,107,28.26,W2_06291994,2,6291994,Sweeney,,,,,
78,106,27.92,W2_07271994,2,7271994,Sweeney,,,,,
78,106,27.21,W2_08301994,2,8301994,Sweeney,,,,,
78,105,26.60,W2_09281994,2,9281994,Sweeney,,,,,
78,105,26.17,W2_10241994,2,10241994,Sweeney,,,,,
78,104,25.68,W2_11291994,2,11291994,Sweeney,,,,,
78,104,25.32,W2_12291994,2,12291994,Sweeney,,,,,
78,108,29.94,W2_01251995,2,1251995,Sweeney,,,,,
78,108,29.39,W2_02271995,2,2271995,Sweeney,,,,,
78,109,30.72,W2_03151995,2,3151995,Sweeney,,,,,
78,109,30.50,W2_03291995,2,3291995,Sweeney,,,,,
78,108,29.83,W2_04261995,2,4261995,Sweeney,,,,,
78,108,29.68,W2_05301995,2,5301995,Sweeney,,,,,
78,108,29.55,W2_06301995,2,6301995,Sweeney,,,,,
78,108,29.26,W2_07281995,2,7281995,Sweeney,,,,,
78,107,29.26,W2_09051995,2,9051995,Sweeney,,,,,
78,107,29.24,W2_10051995,2,10051995,Sweeney,,,,,
78,107,29.23,W2_10311995,2,10311995,Sweeney,,,,,
78,107,29.24,W2_11271995,2,11271995,Sweeney,,,,,
78,108,29.38,W2_12261995,2,12261995,Sweeney,,,,,
78,108,30.09,W2_02061996,2,2061996,Sweeney,,,,,
78,108,30.31,W2_02281996,2,2281996,Sweeney,,,,,
78,108,30.26,W2_03291996,2,3291996,Sweeney,,,,,
78,108,29.61,W2_04291996,2,4291996,Sweeney,,,,,
78,107,29.26,W2_07011996,2,7011996,Sweeney,,,,,
78,107,29.18,W2_07251996,2,7251996,Sweeney,,,,,
78,107,29.04,W2_08291996,2,8291996,Sweeney,,,,,
78,107,29.03,W2_09271996,2,9271996,Sweeney,,,,,
78,107,29.08,W2_11011996,2,11011996,Sweeney,,,,,
78,107,29.18,W2_11181996,2,11181996,Sweeney,,,,,
78,107,29.24,W2_11211996,2,11211996,Sweeney,,,,,
78,107,29.25,W2_11221996,2,11221996,Sweeney,,,,,
78,107,29.29,W2_11251996,2,11251996,Sweeney,,,,,
78,107,29.29,W2_11261996,2,11261996,Sweeney,,,,,
78,107,29.31,W2_11281996,2,11281996,Sweeney,,,,,
78,107,29.34,W2_11301996,2,11301996,Sweeney,,,,,
78,107,29.32,W2_12011996,2,12011996,Sweeney,,,,,
78,107,29.33,W2_12031996,2,12031996,Sweeney,,,,,
78,107,29.36,W2_12051996,2,12051996,Sweeney,,,,,
78,107,29.39,W2_12081996,2,12081996,Sweeney,,,,,
78,107,29.40,W2_12101996,2,12101996,Sweeney,,,,,
78,108,29.88,W2_12111996,2,12111996,Sweeney,,,,,
78,108,29.87,W2_12131996,2,12131996,Sweeney,,,,,
78,108,29.81,W2_12161996,2,12161996,Sweeney,,,,,
78,108,29.74,W2_12181996,2,12181996,Sweeney,,,,,
78,108,29.84,W2_12271996,2,12271996,Sweeney,,,,,
78,108,30.35,W2_01071997,2,1071997,Sweeney,,,,,
78,109,30.67,W2_01311997,2,1311997,Sweeney,,,,,
78,108,30.15,W2_02271997,2,2271997,Sweeney,,,,,
78,108,29.91,W2_03281997,2,3281997,Sweeney,,,,,
78,108,29.87,W2_04281997,2,4281997,Sweeney,,,,,
78,107,29.30,W2_05291997,2,5291997,Sweeney,,,,,
78,107,29.04,W2_07091997,2,7091997,Sweeney,,,,,
78,107,28.81,W2_08051997,2,8051997,Sweeney,,,,,
78,107,28.77,W2_08281997,2,8281997,Sweeney,,,,,
1,10,9.30,w3_10231990,3,10231990,Druid Hills,11.88377566,Domestic,Yes,Uplands,
1,10,9.02,w3_11261990,3,11261990,Druid Hills,,,,,
1,10,9.75,w3_12191990,3,12191990,Druid Hills,,,,,
1,10,8.93,w3_01041991,3,1041991,Druid Hills,,,,,
1,11,10.74,w3_02051991,3,2051991,Druid Hills,,,,,
